t;u;theta_1
0.04;0.01;0.00
10.06;2.53;0.00
20.08;5.05;0.00
30.09;7.56;0.00
40.10;10.08;0.00
50.12;12.60;0.00
60.13;15.12;0.00
70.14;17.63;0.00
80.16;20.15;0.00
90.17;22.67;0.00
100.18;25.18;0.00
110.20;27.70;0.00
120.20;30.21;0.00
130.21;32.72;0.00
140.22;35.24;0.00
150.23;37.75;0.00
160.25;40.26;0.00
170.26;42.77;0.00
180.27;45.28;0.00
190.28;47.78;0.00
200.30;50.29;0.00
210.31;52.79;0.00
220.32;55.30;0.00
230.33;57.79;0.00
240.34;60.29;0.00
250.36;62.79;0.00
260.37;65.29;0.00
270.38;67.78;0.00
280.39;70.27;0.00
290.41;72.76;0.00
300.42;75.24;0.00
310.43;77.72;0.00
320.44;80.20;0.00
330.46;82.68;0.00
340.46;85.15;32.45
350.48;87.62;32.45
360.49;90.09;32.45
370.50;92.56;32.45
380.51;95.02;32.45
390.52;97.47;32.45
400.54;99.93;32.45
410.55;102.38;32.45
420.56;104.83;32.45
430.58;107.27;32.45
440.60;109.71;32.45
450.61;112.15;32.45
460.62;114.58;32.45
470.64;117.01;32.45
480.65;119.43;32.45
490.66;121.85;32.45
500.68;124.27;32.45
510.70;126.68;32.45
520.70;129.08;32.45
530.72;131.48;64.91
540.73;133.88;64.91
550.74;136.27;64.91
560.75;138.65;64.91
570.76;141.03;64.91
580.78;143.40;64.91
590.78;145.77;64.91
600.79;148.14;64.91
610.80;150.49;64.91
620.82;152.85;64.91
630.84;155.19;64.91
640.84;157.53;64.91
650.86;159.87;64.91
660.88;162.20;64.91
670.89;164.52;64.91
680.90;166.84;64.91
690.91;169.15;64.91
700.92;171.45;64.91
710.92;173.74;64.91
720.94;176.04;64.91
730.95;178.32;64.91
740.96;180.59;64.91
750.97;182.86;64.91
761.00;185.13;64.91
771.01;187.38;64.91
781.02;189.63;64.91
791.03;191.87;64.91
801.04;194.11;64.91
811.05;196.33;64.91
821.07;198.55;64.91
831.08;200.76;64.91
841.09;202.96;64.91
851.10;205.16;97.36
861.12;207.35;97.36
871.13;209.52;97.36
881.14;211.69;97.36
891.15;213.86;97.36
901.16;216.01;97.36
911.18;218.16;97.36
921.19;220.29;97.36
931.20;222.42;97.36
941.21;224.54;97.36
951.23;226.65;97.36
961.24;228.76;97.36
971.26;230.85;97.36
981.27;232.93;97.36
991.29;235.01;97.36
1001.30;237.07;97.36
1011.31;239.13;97.36
1021.32;241.18;97.36
1031.33;243.21;97.36
1041.35;245.24;97.36
1051.36;247.26;97.36
1061.36;249.27;97.36
1071.38;251.26;97.36
1081.39;253.25;97.36
1091.40;255.23;97.36
1101.41;257.20;129.82
1111.42;259.16;129.82
1121.44;261.11;129.82
1131.46;263.04;129.82
1141.47;264.97;162.27
1151.48;266.88;194.73
1161.49;268.79;194.73
1171.50;270.68;227.18
1181.51;272.57;259.64
1191.52;274.44;324.54
1201.53;276.30;324.54
1211.56;278.15;389.45
1221.57;279.99;421.91
1231.59;281.82;486.82
1241.60;283.64;519.27
1251.62;285.45;584.18
1261.63;287.24;616.63
1271.64;289.02;681.54
1281.65;290.79;746.45
1291.66;292.55;811.36
1301.67;294.30;876.27
1311.69;296.04;941.18
1321.70;297.76;1038.54
1331.71;299.47;1103.45
1341.73;301.17;1168.36
1351.74;302.86;1233.27
1361.76;304.54;1330.63
1371.76;306.20;1428.00
1381.77;307.85;1492.91
1391.78;309.48;1590.27
1401.80;311.11;1687.63
1411.80;312.72;1785.00
1421.82;314.32;1882.36
1431.83;315.91;1979.72
1441.84;317.48;2077.09
1451.86;319.05;2174.45
1461.87;320.60;2271.81
1471.89;322.13;2401.63
1481.90;323.65;2531.45
1491.92;325.16;2628.81
1501.92;326.66;2758.63
1511.94;328.14;2888.45
1521.95;329.61;2985.81
1531.96;331.07;3115.63
1541.98;332.51;3245.45
1551.99;333.94;3375.26
1562.00;335.35;3537.54
1572.01;336.75;3667.35
1582.02;338.14;3829.63
1592.04;339.51;3959.45
1602.05;340.87;4121.72
1612.07;342.22;4283.99
1622.08;343.55;4413.81
1632.09;344.87;4576.08
1642.10;346.17;4738.35
1652.12;347.46;4933.08
1662.14;348.73;5095.35
1672.15;350.00;5257.62
1682.16;351.24;5452.35
1692.17;352.47;5614.62
1702.18;353.69;5809.35
1712.20;354.89;5971.62
1722.20;356.08;6166.35
1732.22;357.25;6361.08
1742.22;358.41;6555.80
1752.23;359.55;6718.08
1762.24;360.68;6912.80
1772.26;361.79;7107.53
1782.26;362.89;7302.26
1792.27;363.97;7496.98
1802.28;365.04;7691.71
1812.29;366.09;7918.89
1822.30;367.13;8113.62
1832.32;368.15;8308.34
1842.34;369.16;8503.07
1852.35;370.15;8697.80
1862.37;371.13;8892.52
1872.38;372.09;9087.25
1882.39;373.03;9281.98
1892.40;373.96;9509.16
1902.42;374.88;9703.89
1912.44;375.78;9931.07
1922.45;376.66;10125.79
1932.46;377.52;10320.52
1942.48;378.38;10547.70
1952.49;379.21;10774.88
1962.52;380.03;10969.61
1972.53;380.84;11196.79
1982.54;381.62;11423.97
1992.55;382.39;11618.70
2002.56;383.15;11845.88
2012.58;383.89;12073.06
2022.59;384.61;12300.24
2032.60;385.32;12527.42
2042.61;386.01;12754.61
2052.62;386.68;12981.79
2062.63;387.34;13241.42
2072.65;387.98;13436.15
2082.66;388.61;13695.79
2092.68;389.22;13890.51
2102.70;389.81;14117.70
2112.70;390.39;14344.87
2122.72;390.95;14572.06
2132.73;391.49;14799.24
2142.74;392.02;15026.42
2152.75;392.53;15253.60
2162.77;393.02;15480.78
2172.78;393.50;15707.96
2182.79;393.96;15935.14
2192.80;394.40;16162.33
2202.82;394.83;16389.51
2212.83;395.24;16616.69
2222.84;395.63;16843.87
2232.86;396.01;17071.05
2242.87;396.37;17330.69
2252.88;396.71;17557.87
2262.90;397.04;17785.05
2272.91;397.35;18012.23
2282.92;397.64;18239.41
2292.93;397.92;18499.05
2302.94;398.17;18726.23
