t;u;theta_1
0.04;0.05;0.00
14.35;18.03;0.00
28.65;35.96;64.91
42.95;53.83;64.91
57.25;71.60;64.91
71.56;89.24;97.36
85.86;106.69;129.82
100.16;123.93;129.82
114.46;140.93;162.27
128.76;157.65;227.18
143.06;174.05;292.09
157.36;190.11;324.54
171.66;205.77;389.45
185.96;221.04;454.36
200.26;235.86;519.27
214.56;250.19;584.18
228.86;264.02;649.09
243.17;277.33;778.91
257.48;290.08;876.27
271.78;302.23;973.63
286.08;313.77;1071.00
300.39;324.67;1168.36
314.69;334.91;1298.18
328.99;344.46;1428.00
343.28;353.31;1557.81
357.58;361.44;1687.63
371.89;368.83;1849.90
386.19;375.47;2012.18
400.48;381.33;2141.99
414.78;386.41;2336.72
429.08;390.70;2498.99
443.38;394.19;2693.72
457.69;396.87;2888.45
471.99;398.73;3083.17
486.30;399.76;3310.36
500.60;399.98;3505.08
514.90;399.36;3732.26
529.20;397.92;3959.45
543.50;395.66;4186.63
557.80;392.57;4413.81
572.09;388.68;4673.44
586.40;383.97;4933.08
600.70;378.46;5160.26
615.00;372.17;5419.90
629.31;365.10;5711.99
643.60;357.28;5939.17
657.90;348.71;6198.80
672.20;339.40;6490.89
686.50;329.39;6750.53
700.80;318.69;7010.17
715.09;307.33;7269.80
729.40;295.31;7529.44
743.70;282.67;7789.07
758.00;269.44;8048.71
772.30;255.64;8340.80
786.61;241.29;8600.43
800.90;226.45;8860.07
815.20;211.12;9119.71
829.50;195.35;9411.80
843.80;179.16;9671.43
858.10;162.58;9931.07
872.41;145.65;10190.70
886.71;128.42;10482.79
901.02;110.90;10774.88
915.32;93.16;11034.52
929.62;75.20;11294.16
943.92;57.09;11553.79
958.22;38.85;11813.43
972.51;20.53;12073.06
986.81;2.15;12332.70
1001.11;-16.24;12592.33
1015.40;-34.59;12754.61
1029.70;-52.88;12949.33
1044.00;-71.07;13176.51
1058.30;-89.12;13371.24
1072.60;-106.98;13533.51
1086.90;-124.62;13663.33
1101.20;-142.00;13825.60
1115.50;-159.09;13922.97
1129.80;-175.85;14020.33
1144.10;-192.23;14085.24
1158.41;-208.21;14150.15
1172.71;-223.76;14150.15
1187.01;-238.83;14150.15
1201.32;-253.40;14150.15
1215.62;-267.44;14150.15
1229.92;-280.90;14085.24
1244.23;-293.77;14020.33
1258.53;-306.02;13987.88
1272.84;-317.61;13890.51
1287.14;-328.52;13793.15
1301.44;-338.74;13728.24
1315.74;-348.23;13598.42
1330.04;-356.98;13468.61
1344.35;-364.96;13338.79
1358.65;-372.16;13176.51
1372.95;-378.56;13046.70
1387.25;-384.15;12884.42
1401.55;-388.91;12722.15
1415.85;-392.83;12527.42
1430.16;-395.91;12365.15
1444.46;-398.13;12170.43
1458.76;-399.50;11975.70
1473.06;-400.00;11748.52
1487.35;-399.63;11553.79
1501.66;-398.40;11326.61
1515.96;-396.31;11099.43
1530.26;-393.36;10904.70
1544.56;-389.55;10645.07
1558.86;-384.89;10417.88
1573.15;-379.40;10190.70
1587.46;-373.08;9963.52
1601.76;-365.95;9736.34
1616.05;-358.02;9476.70
1630.36;-349.30;9249.52
1644.66;-339.82;9022.34
1658.96;-329.59;8762.71
1673.26;-318.65;8503.07
1687.56;-307.00;8243.44
1701.86;-294.68;7983.80
1716.16;-281.70;7724.16
1730.46;-268.11;7432.07
1744.75;-253.93;7172.44
1759.05;-239.19;6945.26
1773.35;-223.91;6653.17
1787.65;-208.14;6393.53
1801.95;-191.91;6133.89
1816.24;-175.25;5841.80
1830.54;-158.20;5582.17
1844.84;-140.79;5322.53
1859.15;-123.06;5062.90
1873.45;-105.05;4803.26
1887.75;-86.82;4543.63
1902.05;-68.38;4283.99
1916.35;-49.78;4024.35
1930.64;-31.08;3764.72
1944.94;-12.29;3537.54
1959.24;6.52;3310.36
1973.54;25.33;3115.63
1987.84;44.10;2920.90
2002.14;62.77;2693.72
2016.43;81.30;2498.99
2030.74;99.68;2336.72
2045.03;117.82;2174.45
2059.33;135.71;2044.63
2073.63;153.30;1914.81
2087.93;170.57;1817.45
2102.23;187.46;1720.09
2116.53;203.93;1655.18
2130.83;219.96;1622.72
2145.13;235.51;1557.81
2159.43;250.53;1557.81
2173.74;264.99;1557.81
2188.04;278.87;1557.81
2202.33;292.13;1557.81
2216.63;304.73;1557.81
2230.93;316.66;1590.27
2245.24;327.88;1655.18
2259.53;338.37;1687.63
2273.84;348.10;1752.54
2288.13;357.05;1817.45
2302.43;365.20;1882.36
2316.72;372.53;1947.27
2331.02;379.02;2044.63
2345.32;384.67;2141.99
2359.62;389.44;2271.81
2373.92;393.34;2369.18
2388.22;396.35;2498.99
2402.52;398.47;2628.81
2416.82;399.68;2758.63
2431.12;399.99;2920.90
2445.42;399.39;3115.63
2459.71;397.89;3277.90
2474.01;395.48;3440.17
2488.31;392.17;3634.90
2502.60;387.98;3829.63
2516.91;382.89;4056.81
2531.21;376.94;4283.99
2545.50;370.12;4511.17
2559.80;362.46;4738.35
2574.10;353.96;4965.53
2588.41;344.66;5192.72
2602.71;334.56;5419.90
2617.01;323.70;5679.53
2631.31;312.09;5906.71
2645.61;299.76;6166.35
2659.91;286.75;6393.53
2674.21;273.07;6653.17
2688.50;258.76;6880.35
2702.80;243.85;7139.98
2717.10;228.38;7399.62
2731.40;212.38;7626.80
2745.70;195.87;7886.44
2760.00;178.92;8113.62
2774.30;161.55;8373.25
2788.60;143.79;8632.89
2802.90;125.69;8860.07
2817.20;107.31;9119.71
2831.51;88.65;9346.89
2845.82;69.79;9606.52
2860.11;50.77;9866.16
2874.41;31.63;10093.34
2888.70;12.41;10352.98
2903.00;-6.85;10612.61
2917.30;-26.10;10807.34
2931.60;-45.30;10969.61
2945.91;-64.41;11196.79
2960.21;-83.37;11391.52
2974.51;-102.14;11553.79
2988.81;-120.69;11716.06
3003.12;-138.96;11878.34
3017.42;-156.91;12008.15
3031.72;-174.50;12073.06
3046.02;-191.69;12202.88
3060.33;-208.44;12267.79
3074.63;-224.70;12267.79
3088.93;-240.45;12267.79
3103.23;-255.63;12267.79
3117.52;-270.22;12267.79
3131.83;-284.18;12202.88
3146.12;-297.48;12137.97
3160.42;-310.09;12105.52
3174.72;-321.97;12040.61
3189.03;-333.10;11910.79
3203.32;-343.45;11845.88
3217.63;-353.00;11748.52
3231.92;-361.71;11618.70
3246.24;-369.58;11488.88
3260.54;-376.58;11359.06
3274.84;-382.69;11229.25
3289.13;-387.89;11066.97
3303.43;-392.18;10904.70
3317.72;-395.55;10774.88
3332.02;-397.97;10580.16
3346.32;-399.46;10417.88
3360.62;-400.00;10223.16
3374.93;-399.59;10028.43
3389.23;-398.23;9833.70
3403.53;-395.92;9638.98
3417.83;-392.67;9444.25
3432.13;-388.48;9217.07
3446.42;-383.37;9022.34
3460.72;-377.34;8795.16
3475.02;-370.40;8567.98
3489.32;-362.59;8340.80
3503.63;-353.89;8081.16
3517.92;-344.36;7821.53
3532.22;-333.99;7594.35
3546.53;-322.82;7334.71
3560.82;-310.88;7107.53
3575.12;-298.18;6847.89
3589.42;-284.77;6620.71
3603.72;-270.66;6328.62
3618.02;-255.90;6068.99
3632.32;-240.51;5809.35
3646.62;-224.54;5549.71
3660.92;-208.04;5290.08
3675.22;-191.01;5030.44
3689.53;-173.52;4770.81
3703.83;-155.60;4511.17
3718.12;-137.31;4251.54
3732.43;-118.67;3991.90
3746.73;-99.74;3732.26
3761.03;-80.57;3505.08
3775.33;-61.18;3245.45
3789.63;-41.65;2985.81
3803.94;-21.99;2758.63
3818.24;-2.29;2498.99
3832.54;17.43;2239.36
3846.84;37.10;2077.09
3861.14;56.70;1882.36
3875.45;76.18;1655.18
