t;u;theta_1
0.04;0.06;0.00
10.06;12.63;32.45
20.07;25.21;64.91
30.08;37.76;97.36
40.10;50.28;162.27
50.12;62.75;227.18
60.13;75.14;324.54
70.14;87.48;454.36
80.15;99.72;584.18
90.16;111.87;714.00
100.18;123.92;876.27
110.20;135.84;1071.00
120.21;147.63;1265.72
130.22;159.27;1492.91
140.24;170.76;1720.09
150.25;182.08;1979.72
160.26;193.21;2239.36
170.27;204.16;2531.45
180.28;214.90;2823.54
190.29;225.43;3148.08
200.30;235.74;3472.63
210.30;245.81;3829.63
220.32;255.66;4154.17
230.34;265.24;4543.63
240.36;274.56;4900.62
250.37;283.61;5290.08
260.39;292.38;5711.99
270.40;300.86;6101.44
280.40;309.03;6523.35
290.42;316.90;6945.26
300.43;324.45;7399.62
310.44;331.68;7853.98
320.45;338.58;8308.34
330.46;345.15;8762.71
340.48;351.37;9249.52
350.49;357.24;9736.34
360.50;362.75;10223.16
370.52;367.90;10709.98
380.54;372.69;11229.25
390.55;377.10;11716.06
400.56;381.13;12235.33
410.57;384.78;12722.15
420.58;388.05;13241.42
430.59;390.92;13760.69
440.61;393.41;14312.42
450.62;395.51;14831.69
460.64;397.20;15383.42
470.66;398.50;15902.69
480.67;399.40;16421.96
490.68;399.89;16973.69
500.70;399.99;17525.41
510.71;399.68;18044.69
520.72;398.97;18596.41
530.74;397.86;19148.14
540.75;396.34;19732.32
550.76;394.43;20284.05
560.77;392.12;20835.77
570.79;389.42;21355.04
580.81;386.32;21906.77
590.82;382.83;22458.50
600.84;378.95;23042.67
610.86;374.70;23561.95
620.86;370.06;24113.67
630.88;365.05;24665.40
640.89;359.67;25217.12
650.90;353.93;25768.85
660.92;347.82;26353.03
670.93;341.37;26904.76
680.94;334.58;27456.48
690.94;327.44;27975.75
700.96;319.97;28527.48
710.96;312.18;29079.21
720.98;304.06;29598.48
730.98;295.64;30150.20
741.00;286.92;30701.93
751.02;277.90;31221.20
761.03;268.60;31772.93
771.04;259.03;32324.66
781.05;249.19;32843.92
791.06;239.10;33395.65
801.08;228.77;33914.92
811.08;218.20;34434.19
821.09;207.42;34953.46
831.11;196.41;35505.19
841.12;185.20;36024.46
851.13;173.81;36543.73
861.14;162.23;37063.00
871.15;150.50;37549.82
881.17;138.60;38069.09
891.18;126.56;38588.36
901.19;114.39;39075.18
911.20;102.10;39594.46
921.22;89.70;40081.27
931.23;77.22;40600.54
941.24;64.65;41087.36
951.25;52.02;41574.17
961.26;39.33;42060.99
971.27;26.60;42547.81
981.28;13.83;43034.62
991.30;1.06;43488.99
1001.30;-11.72;43975.81
1011.32;-24.49;44397.71
1021.33;-37.24;44787.17
1031.36;-49.97;45111.71
1041.36;-62.62;45403.80
1051.37;-75.23;45663.44
1061.38;-87.75;45858.16
1071.40;-100.19;45987.98
1081.41;-112.53;46085.35
1091.42;-124.75;46150.26
1101.43;-136.86;46150.26
1111.44;-148.81;46150.26
1121.45;-160.62;46085.35
1131.47;-172.27;46020.44
1141.49;-183.75;45923.08
1151.50;-195.04;45793.25
1161.51;-206.13;45630.98
1171.52;-217.00;45468.71
1181.53;-227.65;45306.44
1191.54;-238.08;45079.26
1201.56;-248.26;44852.08
1211.57;-258.19;44592.44
1221.58;-267.85;44332.80
1231.60;-277.25;44040.71
1241.60;-286.35;43748.62
1251.61;-295.16;43424.08
1261.62;-303.67;43067.08
1271.64;-311.87;42710.08
1281.65;-319.75;42353.08
1291.66;-327.30;41996.08
1301.68;-334.51;41606.63
1311.68;-341.38;41217.18
1321.69;-347.90;40827.72
1331.70;-354.06;40405.82
1341.71;-359.85;39951.45
1351.72;-365.28;39529.54
1361.74;-370.33;39075.18
1371.76;-375.00;38620.82
1381.77;-379.28;38134.00
1391.78;-383.17;37647.19
1401.79;-386.67;37160.37
1411.80;-389.76;36673.55
1421.82;-392.45;36186.73
1431.83;-394.74;35699.92
1441.86;-396.62;35180.64
1451.87;-398.08;34661.37
1461.89;-399.14;34142.10
1471.90;-399.78;33622.83
1481.92;-400.00;33103.56
1491.94;-399.81;32584.29
1501.94;-399.20;32032.56
1511.96;-398.18;31480.84
1521.96;-396.75;30961.56
1531.98;-394.90;30409.84
1541.99;-392.65;29858.11
1552.01;-389.98;29338.84
1562.02;-386.91;28819.57
1572.03;-383.44;28267.84
1582.04;-379.56;27716.12
1592.05;-375.30;27164.39
1602.07;-370.63;26612.67
1612.08;-365.58;26060.94
1622.09;-360.16;25509.22
1632.11;-354.35;24925.03
1642.12;-348.17;24373.31
1652.13;-341.63;23854.04
1662.15;-334.73;23302.31
1672.16;-327.48;22783.04
1682.17;-319.89;22231.31
1692.18;-311.96;21679.59
1702.19;-303.71;21095.41
1712.20;-295.14;20576.13
1722.22;-286.26;19991.95
1732.24;-277.07;19472.68
1742.25;-267.59;18888.50
1752.26;-257.84;18369.23
1762.28;-247.80;17849.96
1772.29;-237.51;17330.69
1782.30;-226.97;16778.96
1792.32;-216.19;16259.69
1802.33;-205.19;15707.96
1812.34;-193.96;15188.69
1822.35;-182.54;14669.42
1832.36;-170.91;14117.70
1842.38;-159.11;13598.42
1852.38;-147.14;13079.15
1862.40;-135.02;12559.88
1872.41;-122.74;12040.61
1882.42;-110.34;11553.79
1892.43;-97.82;11066.97
1902.44;-85.19;10580.16
1912.45;-72.48;10060.89
1922.46;-59.68;9574.07
1932.48;-46.82;9054.80
1942.49;-33.91;8567.98
1952.50;-20.95;8081.16
1962.52;-7.98;7594.35
1972.53;5.01;7139.98
1982.54;17.99;6718.08
1992.55;30.96;6328.62
2002.56;43.89;6036.53
2012.57;56.78;5711.99
2022.58;69.61;5452.35
2032.59;82.37;5257.62
2042.60;95.04;5127.81
2052.62;107.62;5030.44
2062.63;120.09;4965.53
2072.65;132.44;4933.08
2082.66;144.65;4965.53
2092.68;156.70;4997.99
2102.69;168.60;5062.90
2112.70;180.30;5192.72
2122.72;191.83;5290.08
2132.74;203.16;5419.90
2142.76;214.28;5582.17
2152.77;225.16;5776.90
2162.78;235.80;5971.62
2172.79;246.20;6198.80
2182.82;256.35;6425.98
2192.83;266.22;6718.08
2202.84;275.80;6977.71
2212.86;285.10;7302.26
2222.86;294.09;7594.35
2232.88;302.78;7951.35
2242.89;311.13;8308.34
2252.90;319.17;8665.34
2262.91;326.86;9054.80
2272.92;334.21;9444.25
2282.94;341.20;9833.70
2292.95;347.83;10255.61
2302.96;354.09;10709.98
2312.97;359.97;11131.88
2322.99;365.48;11586.25
2333.01;370.59;12040.61
2343.02;375.32;12494.97
2353.04;379.63;12949.33
2363.05;383.55;13436.15
2373.06;387.05;13922.97
2383.07;390.14;14442.24
2393.08;392.82;14929.06
2403.09;395.08;15448.33
2413.11;396.91;15967.60
2423.12;398.32;16486.87
2433.14;399.31;17006.15
2443.14;399.86;17492.96
2453.15;399.99;18012.23
2463.16;399.69;18563.96
2473.17;398.97;19083.23
2483.19;397.81;19634.96
2493.20;396.23;20186.68
2503.21;394.22;20705.95
2513.22;391.79;21257.68
2523.23;388.94;21776.95
2533.24;385.67;22328.68
2543.26;381.99;22880.40
2553.27;377.90;23399.67
2563.28;373.39;23918.94
2573.29;368.49;24470.67
2583.31;363.19;24989.94
2593.32;357.50;25541.67
2603.32;351.43;26093.40
2613.34;344.97;26645.12
2623.35;338.14;27164.39
2633.36;330.95;27716.12
2643.37;323.40;28235.39
2653.38;315.50;28754.66
2663.39;307.26;29306.39
2673.40;298.69;29825.66
2683.41;289.79;30344.93
2693.42;280.58;30896.66
2703.44;271.06;31415.93
2713.45;261.24;31967.65
2723.47;251.14;32486.92
2733.48;240.77;33038.65
2743.49;230.14;33525.47
2753.50;219.26;34044.74
2763.51;208.15;34596.46
2773.53;196.80;35115.74
2783.54;185.23;35635.01
2793.55;173.47;36121.82
2803.56;161.52;36641.10
2813.57;149.39;37160.37
2823.59;137.09;37647.19
2833.60;124.64;38166.45
2843.61;112.06;38685.73
2853.62;99.36;39172.55
2863.63;86.55;39659.36
2873.64;73.63;40146.18
2883.65;60.64;40633.00
2893.67;47.57;41152.26
2903.68;34.46;41606.63
2913.70;21.29;42093.44
2923.71;8.11;42580.26
2933.72;-5.08;43034.62
2943.73;-18.27;43456.53
2953.74;-31.43;43813.53
2963.74;-44.57;44138.08
2973.75;-57.65;44430.17
2983.77;-70.69;44689.80
2993.78;-83.66;44884.53
3003.80;-96.52;45046.80
3013.81;-109.29;45144.17
3023.82;-121.93;45176.62
3033.84;-134.46;45209.07
3043.85;-146.83;45176.62
3053.86;-159.04;45144.17
3063.86;-171.08;45079.26
3073.88;-182.94;44981.89
3083.90;-194.61;44852.08
3093.90;-206.05;44722.26
3103.92;-217.28;44527.53
3113.94;-228.27;44365.26
3123.95;-239.02;44138.08
3133.96;-249.50;43910.89
3143.98;-259.71;43683.71
3154.00;-269.64;43424.08
3164.00;-279.27;43131.99
3174.02;-288.60;42839.90
3184.03;-297.62;42515.35
3194.04;-306.30;42190.81
3204.05;-314.66;41833.81
3214.07;-322.67;41509.26
3224.08;-330.32;41119.81
3234.10;-337.63;40762.81
3244.12;-344.55;40373.36
3254.13;-351.10;39951.45
3264.14;-357.26;39529.54
3274.16;-363.03;39107.64
3284.16;-368.40;38685.73
3294.17;-373.37;38231.36
3304.18;-377.92;37744.55
3314.19;-382.06;37257.73
3324.20;-385.78;36803.37
3334.21;-389.08;36316.55
3344.22;-391.95;35829.73
3354.24;-394.38;35375.37
3364.25;-396.38;34856.10
3374.26;-397.95;34336.83
3384.27;-399.07;33850.01
3394.29;-399.76;33330.74
3404.31;-400.00;32811.47
3414.32;-399.80;32292.20
3424.33;-399.16;31740.47
3434.35;-398.07;31221.20
3444.36;-396.55;30669.48
3454.38;-394.58;30150.20
3464.38;-392.19;29630.93
3474.40;-389.35;29111.66
3484.41;-386.08;28559.94
3494.42;-382.39;28040.66
3504.43;-378.27;27521.39
3514.45;-373.73;26937.21
3524.46;-368.77;26417.94
3534.47;-363.40;25866.21
3544.49;-357.63;25314.49
3554.50;-351.46;24795.22
3564.52;-344.90;24243.49
3574.54;-337.95;23724.22
3584.55;-330.62;23204.95
3594.56;-322.94;22653.22
3604.58;-314.88;22133.95
3614.59;-306.48;21614.68
3624.61;-297.73;21062.95
3634.62;-288.65;20511.23
3644.63;-279.25;19991.95
3654.65;-269.53;19440.23
3664.66;-259.51;18920.96
3674.67;-249.21;18401.69
3684.68;-238.62;17882.41
3694.70;-227.76;17363.14
3704.72;-216.64;16843.87
3714.73;-205.28;16357.05
3724.74;-193.70;15837.78
3734.76;-181.89;15318.51
3744.76;-169.89;14799.24
3754.78;-157.68;14279.97
3764.80;-145.29;13760.69
3774.80;-132.75;13273.88
3784.81;-120.06;12754.61
3794.82;-107.23;12267.79
3804.84;-94.27;11780.97
3814.85;-81.21;11294.16
3824.86;-68.06;10807.34
3834.88;-54.82;10320.52
3844.89;-41.52;9866.16
3854.90;-28.17;9379.34
3864.91;-14.80;8892.52
3874.92;-1.39;8438.16
3884.94;12.01;7951.35
3894.94;25.40;7529.44
3904.96;38.77;7172.44
3914.98;52.10;6847.89
3924.99;65.37;6588.26
3935.00;78.57;6361.08
3945.01;91.67;6166.35
3955.02;104.68;6036.53
3965.03;117.57;5939.17
3975.05;130.34;5906.71
3985.06;142.96;5874.26
3995.08;155.42;5906.71
4005.09;167.72;5971.62
4015.10;179.81;6036.53
4025.12;191.71;6133.89
4035.12;203.39;6231.26
4045.14;214.86;6393.53
4055.15;226.07;6555.80
4065.17;237.04;6750.53
4075.18;247.73;6945.26
4085.19;258.15;7204.89
4095.20;268.28;7464.53
4105.21;278.10;7724.16
4115.22;287.61;8016.25
4125.23;296.80;8308.34
4135.24;305.66;8632.89
4145.25;314.16;8989.89
4155.27;322.32;9346.89
4165.28;330.12;9736.34
4175.30;337.54;10125.79
4185.31;344.57;10515.25
4195.32;351.22;10904.70
